dataset,model,k,weekly_count,topk_hit_rate
chicago_2025,baseline_persistence,5,,0.2932107046429478
chicago_2025,baseline_persistence,10,,0.562747492051808
chicago_2025,baseline_persistence,20,,0.9444048949558527
chicago_2025,logistic_regression,5,,0.3015217583958455
chicago_2025,logistic_regression,10,,0.5739097247102168
chicago_2025,logistic_regression,20,,0.9479024998435032
chicago_2025,lstm,5,,0.2952786064454615
chicago_2025,lstm,10,,0.5641936391717067
chicago_2025,lstm,20,,0.8932393560851147
chicago_2025,random_forest,5,,0.3016103992472371
chicago_2025,random_forest,10,,0.5734648660954306
chicago_2025,random_forest,20,,0.9441692558959565
nibrs,baseline_persistence,5,,0.1807194571640396
nibrs,baseline_persistence,10,,0.2547652680165918
nibrs,baseline_persistence,20,,0.34777946207242144
nibrs,baseline_persistence,50,,0.48603644659913997
nibrs,baseline_persistence,100,,0.6426427652966159
nibrs,logistic_regression,5,,0.15650995757631347
nibrs,logistic_regression,10,,0.2207430514744745
nibrs,logistic_regression,20,,0.2880710965958724
nibrs,logistic_regression,50,,0.3513182422160961
nibrs,logistic_regression,100,,0.3618689713606735
nibrs,lstm,5,,0.049537487347094296
nibrs,lstm,10,,0.09174546089687996
nibrs,lstm,20,,0.15913248813775208
nibrs,lstm,50,,0.2768940750517051
nibrs,lstm,100,,0.3445711526893329
nibrs,random_forest,5,,0.08619075032579904
nibrs,random_forest,10,,0.18858755298976884
nibrs,random_forest,20,,0.34875836448943104
nibrs,random_forest,50,,0.4539125139136773
nibrs,random_forest,100,,0.5021101794042514
