model,domain,metric,mean,std
baseline_persistence,chicago_2025,auc,0.8949656918897455,0.0
baseline_persistence,chicago_2025,f1,0.6185737976782753,0.0
baseline_persistence,chicago_2025,precision,0.6175496688741722,0.0
baseline_persistence,chicago_2025,recall,0.6196013289036545,0.0
baseline_persistence,nibrs,auc,0.9987551692918574,0.0
baseline_persistence,nibrs,f1,0.9072254966164593,0.0
baseline_persistence,nibrs,precision,0.9058413251961639,0.0
baseline_persistence,nibrs,recall,0.9086139046786182,0.0
logistic_regression,chicago_2025,auc,0.9322119637512866,0.00025008998136845584
logistic_regression,chicago_2025,f1,0.7043343152944052,0.0030374731286277458
logistic_regression,chicago_2025,precision,0.601813689620202,0.010532648468342997
logistic_regression,chicago_2025,recall,0.849390919158361,0.01663895814099303
logistic_regression,nibrs,auc,0.836688464694752,0.05067807254419526
logistic_regression,nibrs,f1,0.40419636059737035,0.04831629018296734
logistic_regression,nibrs,precision,1.0,0.0
logistic_regression,nibrs,recall,0.2540445999125492,0.03753514636118235
lstm,chicago_2025,auc,0.895126496278289,0.004602050808737522
lstm,chicago_2025,f1,0.6257224499285613,0.014751750907852398
lstm,chicago_2025,precision,0.5859253005777804,0.005734920136579629
lstm,chicago_2025,recall,0.6716500553709857,0.02849858080278577
lstm,nibrs,auc,0.7289976845107757,0.4376811561106242
lstm,nibrs,f1,0.13453108863065946,0.12227511101886893
lstm,nibrs,precision,0.3814687320711417,0.46539188223669187
lstm,nibrs,recall,0.08730505757178253,0.07591155030605444
random_forest,chicago_2025,auc,0.9297412180093297,0.00019266896220298895
random_forest,chicago_2025,f1,0.6765502987964632,0.006569455875932876
random_forest,chicago_2025,precision,0.698977822563745,0.006619958015795699
random_forest,chicago_2025,recall,0.655592469545958,0.010807985213700506
random_forest,nibrs,auc,0.997714804794632,0.0010815812826478562
random_forest,nibrs,f1,0.9276421471835364,0.002356878800719605
random_forest,nibrs,precision,0.9725444105456035,0.004484513849352474
random_forest,nibrs,recall,0.8867512024486226,0.007623784772261745
