time_window_days,domain,model,seed,metric,value,crime_group,date_bucket,slice
7,chicago_2025,baseline_persistence,0,auc,0.9369264744301483,,,overall
7,chicago_2025,baseline_persistence,0,f1,0.6938775510204082,,,overall
7,chicago_2025,baseline_persistence,0,recall,0.6967213114754098,,,overall
7,chicago_2025,baseline_persistence,0,precision,0.6910569105691057,,,overall
7,chicago_2025,logistic_regression,0,auc,0.9542036770948992,,,overall
7,chicago_2025,logistic_regression,0,f1,0.7449664429530202,,,overall
7,chicago_2025,logistic_regression,0,recall,0.9098360655737705,,,overall
7,chicago_2025,logistic_regression,0,precision,0.6306818181818182,,,overall
7,chicago_2025,lstm,0,auc,0.9268663052707203,,,overall
7,chicago_2025,lstm,0,f1,0.6841186736474695,,,overall
7,chicago_2025,lstm,0,recall,0.8032786885245902,,,overall
7,chicago_2025,lstm,0,precision,0.5957446808510638,,,overall
7,chicago_2025,random_forest,0,auc,0.9514115668473646,,,overall
7,chicago_2025,random_forest,0,f1,0.7529880478087648,,,overall
7,chicago_2025,random_forest,0,recall,0.7745901639344263,,,overall
7,chicago_2025,random_forest,0,precision,0.7325581395348837,,,overall
7,nibrs,baseline_persistence,0,auc,0.9982853363943279,,,overall
7,nibrs,baseline_persistence,0,f1,0.9420209828823854,,,overall
7,nibrs,baseline_persistence,0,recall,0.9509476031215162,,,overall
7,nibrs,baseline_persistence,0,precision,0.9332603938730853,,,overall
7,nibrs,logistic_regression,0,auc,0.92624648829149,,,overall
7,nibrs,logistic_regression,0,f1,0.641566265060241,,,overall
7,nibrs,logistic_regression,0,recall,0.47491638795986624,,,overall
7,nibrs,logistic_regression,0,precision,0.988399071925754,,,overall
7,nibrs,lstm,0,auc,0.9855922190817485,,,overall
7,nibrs,lstm,0,f1,0.45829823083403537,,,overall
7,nibrs,lstm,0,recall,0.3032329988851728,,,overall
7,nibrs,lstm,0,precision,0.9379310344827586,,,overall
7,nibrs,random_forest,0,auc,0.9969075414779636,,,overall
7,nibrs,random_forest,0,f1,0.9527027027027029,,,overall
7,nibrs,random_forest,0,recall,0.9431438127090301,,,overall
7,nibrs,random_forest,0,precision,0.962457337883959,,,overall
7,chicago_2025,baseline_persistence,1,auc,0.9369264744301483,,,overall
7,chicago_2025,baseline_persistence,1,f1,0.6938775510204082,,,overall
7,chicago_2025,baseline_persistence,1,recall,0.6967213114754098,,,overall
7,chicago_2025,baseline_persistence,1,precision,0.6910569105691057,,,overall
7,chicago_2025,logistic_regression,1,auc,0.9545914701848346,,,overall
7,chicago_2025,logistic_regression,1,f1,0.7607573149741825,,,overall
7,chicago_2025,logistic_regression,1,recall,0.9057377049180327,,,overall
7,chicago_2025,logistic_regression,1,precision,0.655786350148368,,,overall
7,chicago_2025,lstm,1,auc,0.917091878388087,,,overall
7,chicago_2025,lstm,1,f1,0.6761565836298933,,,overall
7,chicago_2025,lstm,1,recall,0.7786885245901639,,,overall
7,chicago_2025,lstm,1,precision,0.5974842767295597,,,overall
7,chicago_2025,random_forest,1,auc,0.9521708248971329,,,overall
7,chicago_2025,random_forest,1,f1,0.7622789783889979,,,overall
7,chicago_2025,random_forest,1,recall,0.7950819672131147,,,overall
7,chicago_2025,random_forest,1,precision,0.7320754716981132,,,overall
7,nibrs,baseline_persistence,1,auc,0.9982853363943279,,,overall
7,nibrs,baseline_persistence,1,f1,0.9420209828823854,,,overall
7,nibrs,baseline_persistence,1,recall,0.9509476031215162,,,overall
7,nibrs,baseline_persistence,1,precision,0.9332603938730853,,,overall
7,nibrs,logistic_regression,1,auc,0.848996357541982,,,overall
7,nibrs,logistic_regression,1,f1,0.49202350965575137,,,overall
7,nibrs,logistic_regression,1,recall,0.326644370122631,,,overall
7,nibrs,logistic_regression,1,precision,0.9965986394557823,,,overall
7,nibrs,lstm,1,auc,0.8993919078136109,,,overall
7,nibrs,lstm,1,f1,0.31719532554257096,,,overall
7,nibrs,lstm,1,recall,0.5295429208472687,,,overall
7,nibrs,lstm,1,precision,0.22640610104861772,,,overall
7,nibrs,random_forest,1,auc,0.996687858014776,,,overall
7,nibrs,random_forest,1,f1,0.9506726457399104,,,overall
7,nibrs,random_forest,1,recall,0.9453734671125975,,,overall
7,nibrs,random_forest,1,precision,0.9560315670800451,,,overall
7,chicago_2025,baseline_persistence,2,auc,0.9369264744301483,,,overall
