dataset,model,period,n_rows,precision,recall,f1,auc_roc
chicago_2025,baseline_persistence,2024-12,,,,0.0,
chicago_2025,baseline_persistence,2025-01,,,,0.35294117647058815,
chicago_2025,baseline_persistence,2025-02,,,,0.5,
chicago_2025,baseline_persistence,2025-03,,,,0.5,
chicago_2025,baseline_persistence,2025-04,,,,0.681818181818182,
chicago_2025,baseline_persistence,2025-05,,,,0.6923076923076922,
chicago_2025,baseline_persistence,2025-06,,,,0.8433734939759038,
chicago_2025,baseline_persistence,2025-07,,,,0.7941176470588237,
chicago_2025,baseline_persistence,2025-08,,,,0.6274509803921569,
chicago_2025,baseline_persistence,2025-09,,,,0.75,
chicago_2025,baseline_persistence,2025-10,,,,0.7777777777777777,
chicago_2025,baseline_persistence,2025-11,,,,0.4705882352941176,
chicago_2025,baseline_persistence,2025-12,,,,0.25,
chicago_2025,logistic_regression,2024-12,,,,0.0,
chicago_2025,logistic_regression,2025-01,,,,0.6464646464646465,
chicago_2025,logistic_regression,2025-02,,,,0.7350427350427351,
chicago_2025,logistic_regression,2025-03,,,,0.5413105413105413,
chicago_2025,logistic_regression,2025-04,,,,0.7320918075635058,
chicago_2025,logistic_regression,2025-05,,,,0.7878787878787877,
chicago_2025,logistic_regression,2025-06,,,,0.9130434782608696,
chicago_2025,logistic_regression,2025-07,,,,0.8648648648648648,
chicago_2025,logistic_regression,2025-08,,,,0.7575757575757575,
chicago_2025,logistic_regression,2025-09,,,,0.7965811965811965,
chicago_2025,logistic_regression,2025-10,,,,0.7272727272727272,
chicago_2025,logistic_regression,2025-11,,,,0.38058608058608057,
chicago_2025,logistic_regression,2025-12,,,,0.4259259259259259,
chicago_2025,lstm,2024-12,,,,0.0,
chicago_2025,lstm,2025-01,,,,0.5158730158730159,
chicago_2025,lstm,2025-02,,,,0.6341736694677871,
chicago_2025,lstm,2025-03,,,,0.33444816053511706,
chicago_2025,lstm,2025-04,,,,0.6010204081632653,
chicago_2025,lstm,2025-05,,,,0.7502986857825568,
chicago_2025,lstm,2025-06,,,,0.9030626780626781,
chicago_2025,lstm,2025-07,,,,0.8599762343453765,
chicago_2025,lstm,2025-08,,,,0.7144607843137255,
chicago_2025,lstm,2025-09,,,,0.739074074074074,
chicago_2025,lstm,2025-10,,,,0.5925065721488991,
chicago_2025,lstm,2025-11,,,,0.2896825396825397,
chicago_2025,lstm,2025-12,,,,0.2893772893772894,
chicago_2025,random_forest,2024-12,,,,0.0,
chicago_2025,random_forest,2025-01,,,,0.42265795206971674,
chicago_2025,random_forest,2025-02,,,,0.5818181818181818,
chicago_2025,random_forest,2025-03,,,,0.4588888888888889,
chicago_2025,random_forest,2025-04,,,,0.7635658914728681,
chicago_2025,random_forest,2025-05,,,,0.7955595202696005,
chicago_2025,random_forest,2025-06,,,,0.8922180607573867,
chicago_2025,random_forest,2025-07,,,,0.8767123287671234,
chicago_2025,random_forest,2025-08,,,,0.7182149362477231,
chicago_2025,random_forest,2025-09,,,,0.799731182795699,
chicago_2025,random_forest,2025-10,,,,0.7628205128205128,
chicago_2025,random_forest,2025-11,,,,0.5175438596491228,
chicago_2025,random_forest,2025-12,,,,0.6349206349206349,
nibrs,baseline_persistence,2024-01,,,,0.9,
nibrs,baseline_persistence,2024-02,,,,0.9542483660130717,
nibrs,baseline_persistence,2024-03,,,,0.9559748427672957,
nibrs,baseline_persistence,2024-04,,,,0.9253731343283583,
nibrs,baseline_persistence,2024-05,,,,0.96,
nibrs,baseline_persistence,2024-06,,,,0.9673202614379085,
nibrs,baseline_persistence,2024-07,,,,0.9533678756476686,
nibrs,baseline_persistence,2024-08,,,,0.948051948051948,
nibrs,baseline_persistence,2024-09,,,,0.9435897435897437,
nibrs,baseline_persistence,2024-10,,,,0.9403973509933775,
nibrs,baseline_persistence,2024-11,,,,0.9496402877697842,
nibrs,baseline_persistence,2024-12,,,,0.8617886178861789,
nibrs,logistic_regression,2024-01,,,,0.518974358974359,
nibrs,logistic_regression,2024-02,,,,0.45989732306563985,
nibrs,logistic_regression,2024-03,,,,0.44996368917937546,
nibrs,logistic_regression,2024-04,,,,0.5006019472701984,
