domain,seed,model,k,coverage
chicago_2025,0,baseline_persistence,5,0.29889261872535783
chicago_2025,0,baseline_persistence,10,0.5701977248874238
chicago_2025,0,baseline_persistence,20,0.9468929599672408
chicago_2025,0,logistic_regression,5,0.30188298926730456
chicago_2025,0,logistic_regression,10,0.5743428619050864
chicago_2025,0,logistic_regression,20,0.9480325495273263
chicago_2025,0,lstm,5,0.2951524915323775
chicago_2025,0,lstm,10,0.570927537364608
chicago_2025,0,lstm,20,0.8778876959666947
chicago_2025,0,random_forest,5,0.301236932015651
chicago_2025,0,random_forest,10,0.573666331448517
chicago_2025,0,random_forest,20,0.9238198285438544
chicago_2025,1,baseline_persistence,5,0.29889261872535783
chicago_2025,1,baseline_persistence,10,0.5701977248874238
chicago_2025,1,baseline_persistence,20,0.9468929599672408
chicago_2025,1,logistic_regression,5,0.30188298926730456
chicago_2025,1,logistic_regression,10,0.5743428619050864
chicago_2025,1,logistic_regression,20,0.9479743097658763
chicago_2025,1,lstm,5,0.2922146396710095
chicago_2025,1,lstm,10,0.5609142240326049
chicago_2025,1,lstm,20,0.8753287348623261
chicago_2025,1,random_forest,5,0.3025420129146363
chicago_2025,1,random_forest,10,0.5733225165775275
chicago_2025,1,random_forest,20,0.9216683647788528
chicago_2025,2,baseline_persistence,5,0.29889261872535783
chicago_2025,2,baseline_persistence,10,0.5701977248874238
chicago_2025,2,baseline_persistence,20,0.9468929599672408
chicago_2025,2,logistic_regression,5,0.3018632248590509
chicago_2025,2,logistic_regression,10,0.5743428619050864
chicago_2025,2,logistic_regression,20,0.9480325495273263
chicago_2025,2,lstm,5,0.2967213718867633
chicago_2025,2,lstm,10,0.5724291498574643
chicago_2025,2,lstm,20,0.8793805708856666
chicago_2025,2,random_forest,5,0.30036032379591354
chicago_2025,2,random_forest,10,0.574102951194283
chicago_2025,2,random_forest,20,0.9212226370085369
nibrs,0,baseline_persistence,5,0.18340972103112976
nibrs,0,baseline_persistence,10,0.257689267446012
nibrs,0,baseline_persistence,20,0.35081938290167014
nibrs,0,baseline_persistence,50,0.49110232505002477
nibrs,0,baseline_persistence,100,0.6477003770566343
nibrs,0,logistic_regression,5,0.1601203081429491
nibrs,0,logistic_regression,10,0.22655655932447416
nibrs,0,logistic_regression,20,0.2885434240942526
nibrs,0,logistic_regression,50,0.2915245678866047
nibrs,0,logistic_regression,100,0.2961225426283491
nibrs,0,lstm,5,0.06118320875564171
nibrs,0,lstm,10,0.12810316658511914
nibrs,0,lstm,20,0.29354744616391776
nibrs,0,lstm,50,0.4017102444405713
nibrs,0,lstm,100,0.43617696039214865
nibrs,0,random_forest,5,0.10395182708869811
nibrs,0,random_forest,10,0.20026797808014976
nibrs,0,random_forest,20,0.3506468359819029
nibrs,0,random_forest,50,0.46281174092974225
nibrs,0,random_forest,100,0.5515105429952222
nibrs,1,baseline_persistence,5,0.18340972103112976
nibrs,1,baseline_persistence,10,0.257689267446012
nibrs,1,baseline_persistence,20,0.35081938290167014
nibrs,1,baseline_persistence,50,0.49110232505002477
nibrs,1,baseline_persistence,100,0.6477003770566343
nibrs,1,logistic_regression,5,0.15746554836287874
nibrs,1,logistic_regression,10,0.2239700146981659
nibrs,1,logistic_regression,20,0.2538452634183616
nibrs,1,logistic_regression,50,0.2553155680628809
nibrs,1,logistic_regression,100,0.2594951541579665
nibrs,1,lstm,5,0.04911391517876872
nibrs,1,lstm,10,0.10633489388295414
nibrs,1,lstm,20,0.20766195074900182
nibrs,1,lstm,50,0.37342467406702035
nibrs,1,lstm,100,0.46464201765765023
nibrs,1,random_forest,5,0.09375607307851465
nibrs,1,random_forest,10,0.18038976190596154
nibrs,1,random_forest,20,0.35058239320450174
nibrs,1,random_forest,50,0.4617054861568122
nibrs,1,random_forest,100,0.5770609312382939
nibrs,2,baseline_persistence,5,0.18340972103112976
nibrs,2,baseline_persistence,10,0.257689267446012
nibrs,2,baseline_persistence,20,0.35081938290167014
nibrs,2,baseline_persistence,50,0.49110232505002477
nibrs,2,baseline_persistence,100,0.6477003770566343
nibrs,2,logistic_regression,5,0.16003407253488455
nibrs,2,logistic_regression,10,0.2258448395698824
nibrs,2,logistic_regression,20,0.27800252742228687
nibrs,2,logistic_regression,50,0.2812136618306375
nibrs,2,logistic_regression,100,0.28425436347175026
nibrs,2,lstm,5,0.06948021563267841
nibrs,2,lstm,10,0.14271759017555297
nibrs,2,lstm,20,0.1958341754559834
nibrs,2,lstm,50,0.22250266843150598
nibrs,2,lstm,100,0.24887977256374594
nibrs,2,random_forest,5,0.08424445127607583
nibrs,2,random_forest,10,0.18153361815670757
nibrs,2,random_forest,20,0.3505912389820575
nibrs,2,random_forest,50,0.46556763196020073
nibrs,2,random_forest,100,0.60044515254639
