window,seed,model,feature,method,importance_raw,importance_norm
7d,0,baseline_persistence,lag_0,rule_based,1.0,1.0
7d,0,baseline_persistence,lag_1,rule_based,0.0,0.0
7d,0,baseline_persistence,lag_2,rule_based,0.0,0.0
7d,0,baseline_persistence,lag_4,rule_based,0.0,0.0
7d,0,baseline_persistence,rolling_mean_4,rule_based,0.0,0.0
7d,0,baseline_persistence,rolling_sum_4,rule_based,0.0,0.0
7d,0,baseline_persistence,ewma_4,rule_based,0.0,0.0
7d,0,baseline_persistence,neighbor_lag_0,rule_based,0.0,0.0
7d,0,baseline_persistence,neighbor_lag_1,rule_based,0.0,0.0
7d,0,baseline_persistence,neighbor_roll_mean_4,rule_based,0.0,0.0
7d,0,baseline_persistence,neighbor_ewma_4,rule_based,0.0,0.0
7d,0,baseline_persistence,self_neighbor_ratio_lag0,rule_based,0.0,0.0
7d,0,baseline_persistence,lag1_share_theft_larceny,rule_based,0.0,0.0
7d,0,baseline_persistence,lag1_share_assault_battery,rule_based,0.0,0.0
7d,0,baseline_persistence,lag1_share_burglary,rule_based,0.0,0.0
7d,0,baseline_persistence,lag1_share_robbery,rule_based,0.0,0.0
7d,0,baseline_persistence,lag1_share_motor_vehicle_theft,rule_based,0.0,0.0
7d,0,baseline_persistence,lag1_share_drug_narcotics,rule_based,0.0,0.0
7d,0,baseline_persistence,month,rule_based,0.0,0.0
7d,0,baseline_persistence,weekofyear,rule_based,0.0,0.0
7d,0,baseline_persistence,quarter,rule_based,0.0,0.0
7d,0,baseline_persistence,sin_weekofyear,rule_based,0.0,0.0
7d,0,baseline_persistence,cos_weekofyear,rule_based,0.0,0.0
7d,0,baseline_persistence,region_train_mean,rule_based,0.0,0.0
7d,0,baseline_persistence,region_train_std,rule_based,0.0,0.0
7d,0,baseline_persistence,region_train_count,rule_based,0.0,0.0
7d,0,baseline_persistence,region_seen_in_train,rule_based,0.0,0.0
7d,0,logistic_regression,lag_0,coef_abs,2.0983171463012695,0.1267559975385666
7d,0,logistic_regression,lag_1,coef_abs,0.6797175407409668,0.04106065258383751
7d,0,logistic_regression,lag_2,coef_abs,0.24808041751384735,0.01498614251613617
7d,0,logistic_regression,lag_4,coef_abs,0.4636722803115845,0.028009703382849693
7d,0,logistic_regression,rolling_mean_4,coef_abs,0.25240352749824524,0.015247294679284096
7d,0,logistic_regression,rolling_sum_4,coef_abs,0.28624430298805237,0.017291560769081116
7d,0,logistic_regression,ewma_4,coef_abs,3.755854606628418,0.22688518464565277
7d,0,logistic_regression,neighbor_lag_0,coef_abs,0.12363375723361969,0.007468517869710922
7d,0,logistic_regression,neighbor_lag_1,coef_abs,0.2513429522514343,0.015183227136731148
7d,0,logistic_regression,neighbor_roll_mean_4,coef_abs,0.6456910371780396,0.03900516405701637
7d,0,logistic_regression,neighbor_ewma_4,coef_abs,0.5108625888824463,0.03086039423942566
7d,0,logistic_regression,self_neighbor_ratio_lag0,coef_abs,0.8305974006652832,0.05017506331205368
7d,0,logistic_regression,lag1_share_theft_larceny,coef_abs,1.081756591796875,0.06534718722105026
7d,0,logistic_regression,lag1_share_assault_battery,coef_abs,1.2138007879257202,0.07332377135753632
7d,0,logistic_regression,lag1_share_burglary,coef_abs,0.1624164581298828,0.009811319410800934
7d,0,logistic_regression,lag1_share_robbery,coef_abs,0.22563840448856354,0.013630456291139126
7d,0,logistic_regression,lag1_share_motor_vehicle_theft,coef_abs,0.2986726760864258,0.018042339012026787
7d,0,logistic_regression,lag1_share_drug_narcotics,coef_abs,0.3657163679599762,0.022092342376708984
7d,0,logistic_regression,month,coef_abs,0.5537797212600708,0.03345295041799545
7d,0,logistic_regression,weekofyear,coef_abs,0.31832095980644226,0.019229261204600334
7d,0,logistic_regression,quarter,coef_abs,0.2737973630428314,0.016539661213755608
7d,0,logistic_regression,sin_weekofyear,coef_abs,0.23574155569076538,0.014240771532058716
7d,0,logistic_regression,cos_weekofyear,coef_abs,0.4327322542667389,0.026140665635466576
7d,0,logistic_regression,region_train_mean,coef_abs,1.001216173171997,0.06048187240958214
7d,0,logistic_regression,region_train_std,coef_abs,0.038675956428050995,0.0023363528307527304
7d,0,logistic_regression,region_train_count,coef_abs,0.09212818741798401,0.005565316881984472
7d,0,logistic_regression,region_seen_in_train,coef_abs,0.11317693442106247,0.006836838088929653
7d,0,random_forest,lag_0,split_count,2508.0,0.05721716582775116
7d,0,random_forest,lag_1,split_count,1989.0,0.045376770198345184
7d,0,random_forest,lag_2,split_count,1900.0,0.0433463379740715
7d,0,random_forest,lag_4,split_count,2031.0,0.04633495211601257
7d,0,random_forest,rolling_mean_4,split_count,2025.0,0.04619807004928589
7d,0,random_forest,rolling_sum_4,split_count,2022.0,0.046129629015922546
7d,0,random_forest,ewma_4,split_count,2266.0,0.051696211099624634
7d,0,random_forest,neighbor_lag_0,split_count,1936.0,0.04416763782501221
7d,0,random_forest,neighbor_lag_1,split_count,1629.0,0.03716377913951874
7d,0,random_forest,neighbor_roll_mean_4,split_count,1666.0,0.03800789266824722
7d,0,random_forest,neighbor_ewma_4,split_count,1625.0,0.037072524428367615
7d,0,random_forest,self_neighbor_ratio_lag0,split_count,1999.0,0.04560491070151329
7d,0,random_forest,lag1_share_theft_larceny,split_count,1683.0,0.038395728915929794
7d,0,random_forest,lag1_share_assault_battery,split_count,1641.0,0.037437546998262405
7d,0,random_forest,lag1_share_burglary,split_count,1772.0,0.040426161140203476
7d,0,random_forest,lag1_share_robbery,split_count,1643.0,0.03748317435383797
7d,0,random_forest,lag1_share_motor_vehicle_theft,split_count,1736.0,0.03960486501455307
7d,0,random_forest,lag1_share_drug_narcotics,split_count,1754.0,0.04001551494002342
7d,0,random_forest,month,split_count,1220.0,0.027832910418510437
7d,0,random_forest,weekofyear,split_count,1619.0,0.03693564236164093
7d,0,random_forest,quarter,split_count,623.0,0.014213035814464092
7d,0,random_forest,sin_weekofyear,split_count,1545.0,0.03524741530418396
7d,0,random_forest,cos_weekofyear,split_count,1849.0,0.04218282923102379
7d,0,random_forest,region_train_mean,split_count,1617.0,0.03689001500606537
7d,0,random_forest,region_train_std,split_count,1535.0,0.03501927852630615
7d,0,random_forest,region_train_count,split_count,0.0,0.0
7d,0,random_forest,region_seen_in_train,split_count,0.0,0.0
7d,0,lstm,lag_0,grad_abs_mean,0.0003252485184930265,0.04887168109416962
7d,0,lstm,lag_1,grad_abs_mean,0.00018400009139440954,0.02764776162803173
7d,0,lstm,lag_2,grad_abs_mean,0.00020810839487239718,0.03127026557922363
7d,0,lstm,lag_4,grad_abs_mean,0.00048392967437393963,0.07271503657102585
