window,model,feature,method,importance_norm_mean,importance_norm_std,importance_raw_mean,importance_raw_std,seed_n,rank_in_model
3d,baseline_persistence,lag_0,rule_based,1.0,0.0,1.0,0.0,3,1
3d,baseline_persistence,cos_weekofyear,rule_based,0.0,0.0,0.0,0.0,3,2
3d,baseline_persistence,ewma_4,rule_based,0.0,0.0,0.0,0.0,3,3
3d,baseline_persistence,lag1_share_assault_battery,rule_based,0.0,0.0,0.0,0.0,3,4
3d,baseline_persistence,lag1_share_burglary,rule_based,0.0,0.0,0.0,0.0,3,5
3d,baseline_persistence,lag1_share_drug_narcotics,rule_based,0.0,0.0,0.0,0.0,3,6
3d,baseline_persistence,lag1_share_motor_vehicle_theft,rule_based,0.0,0.0,0.0,0.0,3,7
3d,baseline_persistence,lag1_share_robbery,rule_based,0.0,0.0,0.0,0.0,3,8
3d,baseline_persistence,lag1_share_theft_larceny,rule_based,0.0,0.0,0.0,0.0,3,9
3d,baseline_persistence,lag_1,rule_based,0.0,0.0,0.0,0.0,3,10
3d,baseline_persistence,lag_2,rule_based,0.0,0.0,0.0,0.0,3,11
3d,baseline_persistence,lag_4,rule_based,0.0,0.0,0.0,0.0,3,12
3d,baseline_persistence,month,rule_based,0.0,0.0,0.0,0.0,3,13
3d,baseline_persistence,neighbor_ewma_4,rule_based,0.0,0.0,0.0,0.0,3,14
3d,baseline_persistence,neighbor_lag_0,rule_based,0.0,0.0,0.0,0.0,3,15
3d,baseline_persistence,neighbor_lag_1,rule_based,0.0,0.0,0.0,0.0,3,16
3d,baseline_persistence,neighbor_roll_mean_4,rule_based,0.0,0.0,0.0,0.0,3,17
3d,baseline_persistence,quarter,rule_based,0.0,0.0,0.0,0.0,3,18
3d,baseline_persistence,region_seen_in_train,rule_based,0.0,0.0,0.0,0.0,3,19
3d,baseline_persistence,region_train_count,rule_based,0.0,0.0,0.0,0.0,3,20
3d,baseline_persistence,region_train_mean,rule_based,0.0,0.0,0.0,0.0,3,21
3d,baseline_persistence,region_train_std,rule_based,0.0,0.0,0.0,0.0,3,22
3d,baseline_persistence,rolling_mean_4,rule_based,0.0,0.0,0.0,0.0,3,23
3d,baseline_persistence,rolling_sum_4,rule_based,0.0,0.0,0.0,0.0,3,24
3d,baseline_persistence,self_neighbor_ratio_lag0,rule_based,0.0,0.0,0.0,0.0,3,25
3d,baseline_persistence,sin_weekofyear,rule_based,0.0,0.0,0.0,0.0,3,26
3d,baseline_persistence,weekofyear,rule_based,0.0,0.0,0.0,0.0,3,27
3d,logistic_regression,ewma_4,coef_abs,0.34573418895403546,0.0011733174423704672,6.878548622131348,0.0651729571708153,3,1
3d,logistic_regression,lag_1,coef_abs,0.07861922184626262,0.0014812688113342337,1.564050277074178,0.022568470423672205,3,2
3d,logistic_regression,rolling_sum_4,coef_abs,0.07085355371236801,0.0032820872924209173,1.4092365503311157,0.05135590948515933,3,3
3d,logistic_regression,rolling_mean_4,coef_abs,0.06525179619590442,0.004148626547809282,1.2984006802241008,0.08811584726668828,3,4
3d,logistic_regression,lag_0,coef_abs,0.06307576845089595,0.000889030895631185,1.2549913326899211,0.02627465036797833,3,5
3d,logistic_regression,region_train_mean,coef_abs,0.059090430537859596,0.0011996891100355652,1.175569732983907,0.021487994267546457,3,6
3d,logistic_regression,neighbor_ewma_4,coef_abs,0.03949348380168279,8.479185878945919e-05,0.7857761780420939,0.011467569216830122,3,7
3d,logistic_regression,lag_4,coef_abs,0.03463008254766464,0.0007921436633341174,0.6890796621640524,0.021969184373015007,3,8
3d,logistic_regression,lag_2,coef_abs,0.03446295609076818,0.0012311525368243678,0.6854683955510458,0.01562717158355559,3,9
3d,logistic_regression,self_neighbor_ratio_lag0,coef_abs,0.03179681052764257,0.0013456792462684453,0.6324106256167094,0.018893554621375923,3,10
3d,logistic_regression,lag1_share_assault_battery,coef_abs,0.02413085475564003,0.001394798219036876,0.4801826973756154,0.030442438817562256,3,11
3d,logistic_regression,lag1_share_theft_larceny,coef_abs,0.02350647933781147,0.00022117450136476227,0.46769895156224567,0.00853040185271971,3,12
3d,logistic_regression,neighbor_lag_1,coef_abs,0.02167580711344878,0.0009616618868764256,0.43142364422480267,0.02447020606620223,3,13
