window,model,feature,method,importance_norm_mean,importance_norm_std,importance_raw_mean,importance_raw_std,seed_n,rank_in_model
3d,baseline_persistence,lag_0,rule_based,1.0,0.0,1.0,0.0,3,1
3d,baseline_persistence,cos_weekofyear,rule_based,0.0,0.0,0.0,0.0,3,2
3d,baseline_persistence,ewma_4,rule_based,0.0,0.0,0.0,0.0,3,3
3d,baseline_persistence,lag1_share_assault_battery,rule_based,0.0,0.0,0.0,0.0,3,4
3d,baseline_persistence,lag1_share_burglary,rule_based,0.0,0.0,0.0,0.0,3,5
3d,baseline_persistence,lag1_share_drug_narcotics,rule_based,0.0,0.0,0.0,0.0,3,6
3d,baseline_persistence,lag1_share_motor_vehicle_theft,rule_based,0.0,0.0,0.0,0.0,3,7
3d,baseline_persistence,lag1_share_robbery,rule_based,0.0,0.0,0.0,0.0,3,8
3d,baseline_persistence,lag1_share_theft_larceny,rule_based,0.0,0.0,0.0,0.0,3,9
3d,baseline_persistence,lag_1,rule_based,0.0,0.0,0.0,0.0,3,10
3d,logistic_regression,ewma_4,coef_abs,0.34573418895403546,0.0011733174423704672,6.878548622131348,0.0651729571708153,3,1
3d,logistic_regression,lag_1,coef_abs,0.07861922184626262,0.0014812688113342337,1.564050277074178,0.022568470423672205,3,2
3d,logistic_regression,rolling_sum_4,coef_abs,0.07085355371236801,0.0032820872924209173,1.4092365503311157,0.05135590948515933,3,3
3d,logistic_regression,rolling_mean_4,coef_abs,0.06525179619590442,0.004148626547809282,1.2984006802241008,0.08811584726668828,3,4
3d,logistic_regression,lag_0,coef_abs,0.06307576845089595,0.000889030895631185,1.2549913326899211,0.02627465036797833,3,5
3d,logistic_regression,region_train_mean,coef_abs,0.059090430537859596,0.0011996891100355652,1.175569732983907,0.021487994267546457,3,6
3d,logistic_regression,neighbor_ewma_4,coef_abs,0.03949348380168279,8.479185878945919e-05,0.7857761780420939,0.011467569216830122,3,7
3d,logistic_regression,lag_4,coef_abs,0.03463008254766464,0.0007921436633341174,0.6890796621640524,0.021969184373015007,3,8
3d,logistic_regression,lag_2,coef_abs,0.03446295609076818,0.0012311525368243678,0.6854683955510458,0.01562717158355559,3,9
3d,logistic_regression,self_neighbor_ratio_lag0,coef_abs,0.03179681052764257,0.0013456792462684453,0.6324106256167094,0.018893554621375923,3,10
3d,lstm,region_train_mean,grad_abs_mean,0.05991041908661524,0.01260144078096684,0.0005536944081541151,0.0001549780806679938,3,1
3d,lstm,neighbor_lag_0,grad_abs_mean,0.05936772500475248,0.001938719233594292,0.0005436080003467699,3.48201225962853e-05,3,2
3d,lstm,lag1_share_robbery,grad_abs_mean,0.059363813449939094,0.0042763184146289044,0.000542075140401721,6.3975601731878344e-06,3,3
3d,lstm,lag_4,grad_abs_mean,0.05876279746492704,0.001661558386926538,0.000538524123840034,4.272113269753118e-05,3,4
3d,lstm,lag1_share_burglary,grad_abs_mean,0.05703760931889216,0.0030197244493994904,0.0005228186491876841,5.082280439182461e-05,3,5
3d,lstm,lag_0,grad_abs_mean,0.05372840166091919,0.007781498139869048,0.0004905337118543684,6.246299595993423e-05,3,6
3d,lstm,self_neighbor_ratio_lag0,grad_abs_mean,0.04289503023028374,0.002313325277584718,0.0003937180736102164,4.445157292765938e-05,3,7
3d,lstm,lag1_share_drug_narcotics,grad_abs_mean,0.04161274308959643,0.004341939284469042,0.00038068488356657326,4.0345734892210346e-05,3,8
3d,lstm,cos_weekofyear,grad_abs_mean,0.0409662202000618,0.0005253349161382201,0.0003751590653943519,2.2719477735284194e-05,3,9
3d,lstm,lag1_share_motor_vehicle_theft,grad_abs_mean,0.037551894783973694,0.003339124059012909,0.00034552109233724576,5.465814799684973e-05,3,10
3d,random_forest,lag_0,split_count,0.05600282301505407,0.0002894559851223383,3842.6666666666665,19.857828011475288,3,1
3d,random_forest,ewma_4,split_count,0.05365479364991188,0.0005317759040304219,3681.6666666666665,50.52062285179515,3,2
3d,random_forest,neighbor_lag_0,split_count,0.046848940352598824,0.0004196738585118642,3214.6666666666665,42.146569650842615,3,3
3d,random_forest,rolling_mean_4,split_count,0.04587923735380173,0.0008607140759564648,3148.0,56.630380539071076,3,4
3d,random_forest,rolling_sum_4,split_count,0.045581936836242676,0.00023756342194190258,3127.6666666666665,24.41993720985644,3,5
