time_window_days,model,seed,metric,delta
3,baseline_persistence,0,auc,-0.10378947740211186
3,baseline_persistence,0,f1,-0.288651698938184
3,baseline_persistence,1,auc,-0.10378947740211186
3,baseline_persistence,1,f1,-0.288651698938184
3,baseline_persistence,2,auc,-0.10378947740211186
3,baseline_persistence,2,f1,-0.288651698938184
3,logistic_regression,0,auc,0.05281009102072565
3,logistic_regression,0,f1,0.26126640229551545
3,logistic_regression,1,auc,0.08246274858406355
3,logistic_regression,1,f1,0.2830413061754824
3,logistic_regression,2,auc,0.15129765756481472
3,logistic_regression,2,f1,0.3561061556201066
3,lstm,0,auc,0.6663122695855596
3,lstm,0,f1,0.6251920122887865
3,lstm,1,auc,-0.07427301808050435
3,lstm,1,f1,0.4465576559880462
3,lstm,2,auc,-0.09365281620251564
3,lstm,2,f1,0.40182441561687277
3,random_forest,0,auc,-0.06756670682238242
3,random_forest,0,f1,-0.2608430515826863
3,random_forest,1,auc,-0.06917775000856863
3,random_forest,1,f1,-0.24774792536975276
3,random_forest,2,auc,-0.06717630352495585
3,random_forest,2,f1,-0.24468456820878026
7,baseline_persistence,0,auc,-0.06135886196417961
7,baseline_persistence,0,f1,-0.2481434318619773
7,baseline_persistence,1,auc,-0.06135886196417961
7,baseline_persistence,1,f1,-0.2481434318619773
7,baseline_persistence,2,auc,-0.06135886196417961
7,baseline_persistence,2,f1,-0.2481434318619773
7,logistic_regression,0,auc,0.02795718880340914
7,logistic_regression,0,f1,0.10340017789277922
7,logistic_regression,1,auc,0.1055951126428526
7,logistic_regression,1,f1,0.2687338053184312
7,logistic_regression,2,auc,0.0521778681557884
7,logistic_regression,2,f1,0.2120689655172413
7,lstm,0,auc,-0.058725913811027985
7,lstm,0,f1,0.22582044281343416
7,lstm,1,auc,0.017699970574476143
7,lstm,1,f1,0.3589612580873224
7,lstm,2,auc,0.05393917670406301
7,lstm,2,f1,0.4421066377802444
7,random_forest,0,auc,-0.045495974630598957
7,random_forest,0,f1,-0.19971465489393803
7,random_forest,1,auc,-0.04451703311764321
7,random_forest,1,f1,-0.18839366735091245
7,random_forest,2,auc,-0.04404295984838558
7,random_forest,2,f1,-0.18130307241006627
